namespace	term_local_name	label	definition	usage	notes	examples	rdf_type	term_created	term_modified	compound_name	namespace_iri	term_iri	term_ns_name	term_version_iri	datatype	purpose	alt_label	level	pref_label	class_name	usage_note	isRequiredBy	class_pref_label	term_uri
mids:	MIDS0		A bare or skeletal record making the association between an identifier of a physical specimen and its digital representation, allowing for unambiguous attachment of all other information.		Usually established prior to any formal digitisation and hence considered a pre-level. MIDS-0 is a bare level of information that exists to make an association between a physical specimen with its identifier (eg, barcode) and an entry in a catalogue or database as well as the institution in which the specimen is held. One early action in a digitisation process is the creation of a database record that acknowledges or coincides with the existence or accession of a physical specimen into a collection, but not necessarily with any other information digitised at that stage. Note, however, that image(s) can be generated and referenced at this early stage.		http://www.w3.org/1999/02/22-rdf-syntax-ns#Class						mids:MIDS0			Allows for unambiguous attachment of all other information and to allow a user to discover the location of the physical specimen to access additional information or to request access to the physical specimen.	Bare	0	MIDS Level 0					https://ltc.tdwg.org/information-elements/index.html#MIDS0
mids:	MIDS1		A basic record of specimen information enabling basic discoverability as well as how the user is permitted to use the data.		In addition to the creation of a basic digital record with an identifier (MIDS-0) enabling all other information (including images and/or other media types) to be associated with a single physical specimen, MIDS-1 includes the information often captured in the first stages of mass digitisation, defining the scope of the physical specimen and providing some information about the kind of object as well as a name attached to the specimen. Provides information about when the record was last updated as well as how the user is permitted to use the information.		http://www.w3.org/1999/02/22-rdf-syntax-ns#Class						mids:MIDS1			Creates a digital representation of the physical collections. Provides information about the number of specimens present for a taxon as well as some information about the kind of object, enabling curators and other users to find the specimens within the collections. Also enables costing calculations for storage, digitisation and other curation activities. If imaged, also enables similar search and browsing capabilities online as researchers and curators would have at the cabinets of physical specimens.	Basic	1	MIDS Level 1					https://ltc.tdwg.org/information-elements/index.html#MIDS1
mids:	MIDS2		A regular level of information including data that have been agreed over time as essential for most scientific purposes.		Regular records include the latitude/longitude data which are critical for many research applications including machine-readable formats. For botanical specimens the inclusion of collector name, number and date are a priority, given their historical use in acting as the identifier for the specimen in literature. These terms are routinely used to identify the specimen in requests to curation staff. For geological and palaeontological specimens the inclusion of geological age is a priority.		http://www.w3.org/1999/02/22-rdf-syntax-ns#Class						mids:MIDS2			Key information fields that have been agreed over time as essential for most scientific purposes.	Intermediate	2	MIDS Level 2					https://ltc.tdwg.org/information-elements/index.html#MIDS2
mids:	MIDS3		An extended level of information about a specimen including identifiers enabling connections to be made to other data present or known about the specimen.		An extended level of information about a specimen including identifiers enabling connections to be made to other data present or known about the specimen.		http://www.w3.org/1999/02/22-rdf-syntax-ns#Class						mids:MIDS3			Enables linked open data.	Extended	3	MIDS Level 3					https://ltc.tdwg.org/information-elements/index.html#MIDS3
mids:	PhysicalSpecimenID	Physical Specimen ID	A unique identity for the specimen within the curating institution. Whatever the institution uses to uniquely identify the item. For example: DOI, stable identifier, catalogue number, barcode, etc.				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:PhysicalSpecimenID			To allow the curator/researcher to identify the physical specimen to which the data refer. To allow citation of the specimen. To enable the attachment of additional information to the specimen record.				MIDS0	It is strongly recommended to use a globally unique persistent identifier, preferably resolvable, e.g. CETAF Stable Identifiers or DOIs. It is strongly recommended to map these to the DwC term materialSampleID.	Biology|Geology|Palaeontology	MIDS Level 0	https://ltc.tdwg.org/information-elements/index.html#PhysicalSpecimenID
mids:	Organization	Organization	A term to indicate in which institution the specimen is held. This may include an institution code and an institution identifier.				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:Organization			To allow a user to discover the location of the physical specimen to access additional information or to request access to the physical specimen.				MIDS0	It is strongly recommended to include a human readable term and a globally unique persistent and resolvable identifier from GrSciColl, GRID, ROR, etc.	Biology|Geology|Palaeontology	MIDS Level 0	https://ltc.tdwg.org/information-elements/index.html#Organization
mids:	Name	Name	A name given to the object. Any string of characters and/or numbers by which the object is referenced within a collection. For example, the name the specimen is stored under, its scientific or taxonomic name if known, how it is labelled, etc. This name is not necessarily its name according to an accepted scientific classification, identification, or taxonomic determination (i.e., scientific name) but it often can be the same as that.				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:Name			Information to aid the discoverability of specimens by users and the ability to retrieve them within a collection.				MIDS1	It is recommended to follow standard nomenclators, e.g. the International Plant Names Index (IPNI), MycoBank, AlgaeBase, Mindat, etc	Biology|Geology|Palaeontology	MIDS Level 1	https://ltc.tdwg.org/information-elements/index.html#Name
mids:	SpecimenType	Specimen Type	High-level term to delimit and define specimens. For example: preserved specimen, fossil specimen, as opposed to observation.				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:SpecimenType			To delimit the specimens to which the MIDS specification refers.				MIDS1	It is recommended to use the ontology being developed for the DwC term MaterialEntity.	Biology|Geology|Palaeontology	MIDS Level 1	https://ltc.tdwg.org/information-elements/index.html#SpecimenType
mids:	ObjectType	Object Type	General term to describe the kind of specimen. In combination with SpecimenType - hierarchical; a more specific classification than described by SpecimenType.				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:ObjectType			To enable curators to determine equipment/method/cost of imaging the specimen, to enable researchers to determine equipment/method required for viewing/analysing the specimen, to enable curators/researchers to know in which collection/location within the institution the specimen is held.				MIDS1	It is recommended to use the ontology being developed for the DwC term Preparations.	Biology|Geology|Palaeontology	MIDS Level 1	https://ltc.tdwg.org/information-elements/index.html#ObjectType
mids:	License	License	License under which the specimen data are published				http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	2024-05-16					mids:License			To enable all users to determine how they can use the specimen data				MIDS1	Use Creative Commons license framework. Use as unrestricted license as possible.	Biology|Geology|Palaeontology	MIDS Level 1	https://ltc.tdwg.org/information-elements/index.html#License
